antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
Uht-milk,Beef,0.07810894141829394,0.11793422404933196,0.0105344295991778,0.13486842105263158,1.1435901846118566,0.001322712201696578,1.0195741288555251,0.13619925496913826
Beef,Uht-milk,0.11793422404933196,0.07810894141829394,0.0105344295991778,0.08932461873638345,1.1435901846118564,0.001322712201696578,1.0123157796387634,0.14234865331467175
Uht-milk,Bottled beer,0.07810894141829394,0.15673175745118192,0.014388489208633094,0.18421052631578946,1.1753235547886107,0.0021463375474924697,1.0336836521566157,0.161809205287466
Bottled beer,Uht-milk,0.15673175745118192,0.07810894141829394,0.014388489208633094,0.09180327868852459,1.1753235547886107,0.0021463375474924697,1.0150786024094598,0.17689562113693724
Uht-milk,Bottled water,0.07810894141829394,0.20863309352517986,0.020554984583761562,0.2631578947368421,1.261343012704174,0.004258874503685846,1.0739979445015415,0.2247491638795985
Bottled water,Uht-milk,0.20863309352517986,0.07810894141829394,0.020554984583761562,0.09852216748768472,1.261343012704174,0.004258874503685846,1.0226441797381767,0.2618181818181816
Uht-milk,Brown bread,0.07810894141829394,0.1343782117163412,0.011562178828365879,0.14802631578947367,1.1015648586092381,0.0010660389615190832,1.016019396286611,0.10001238696890871
Brown bread,Uht-milk,0.1343782117163412,0.07810894141829394,0.011562178828365879,0.08604206500956023,1.1015648586092381,0.0010660389615190832,1.0086799657703605,0.10651363741301409
Uht-milk,Butter,0.07810894141829394,0.1248715313463515,0.0105344295991778,0.13486842105263158,1.0800573965778644,0.0007808464724329764,1.0115553401928103,0.0804035130652309
Butter,Uht-milk,0.1248715313463515,0.07810894141829394,0.0105344295991778,0.08436213991769546,1.0800573965778641,0.0007808464724329764,1.006829335889234,0.08469988399238065
Uht-milk,Canned beer,0.07810894141829394,0.16212744090441933,0.014645426515930112,0.18749999999999997,1.156497622820919,0.0019818237320289103,1.0312277650407147,0.14678558156819013
Canned beer,Uht-milk,0.16212744090441933,0.07810894141829394,0.014645426515930112,0.09033280507131536,1.156497622820919,0.0019818237320289103,1.01343773164644,0.16150465092507396
Uht-milk,Chicken,0.07810894141829394,0.09943473792394655,0.010277492291880781,0.13157894736842105,1.3232694138446892,0.0025107501724358286,1.0370145442087888,0.264994425863991
